logsimpl,nonsimpl,patsimpl
2533.777777777778,15540.142857142857,835.0
2330.0,1297.142857142857,447.0
1873.7777777777778,1806.0,3321.2
1272.75,8355.285714285714,1035.6
1129.5,3722.4,11760.5
2412.8888888888887,6749.75,1336.888888888889
2520.0,3143.9,5973.777777777777
7757.5,536.0,709.6666666666666
10279.6,8136.5,2919.5714285714284
1507.1666666666667,698.9,1686.1666666666667
740.9,4041.3,2685.4285714285716
614.9,665.1,6179.0
1235.8,10265.875,1666.0
1468.2222222222222,1253.2,4359.888888888889
582.0,486.8,4051.2
3363.6666666666665,2384.3333333333335,741.0
3290.6,1472.9,1011.7777777777778
968.8,1156.0,478.0
6221.5,1336.0,1175.3
3201.1,2620.3333333333335,4247.75
10150.0,2906.6,2595.5
1617.5,4547.857142857143,8323.555555555555
1499.0,6258.25,2044.1
2440.6666666666665,13613.4,6070.5
547.9,5728.5,724.0
5824.5,10311.555555555555,1098.3333333333333
1079.75,6325.75,3197.0
728.5,6550.125,1566.857142857143
3303.2,2824.3,4038.5555555555557
9010.57142857143,2817.6,3489.6
6404.6,3154.777777777778,4236.777777777777
1175.3,1163.6666666666667,1492.8333333333333
1563.0,1549.0,2875.6
2237.8,2127.0,1368.6
565.3,453.2,399.0
4320.5,5403.625,1852.375
1228.0,1572.4,2385.25
5467.125,6325.625,2519.8571428571427
2234.6666666666665,4223.1,956.0
2734.0,1606.6666666666667,1813.0
1841.25,2899.777777777778,1014.3
4898.0,6169.0,1415.6666666666667
1919.5,926.0,3376.5555555555557
7292.0,1589.6666666666667,1280.2
6963.111111111111,1542.3333333333333,587.7
1396.8,2354.8,15142.57142857143
3026.5555555555557,742.4,4412.5
3649.25,8085.5,631.9
6594.625,3282.8,1815.2222222222222
4641.714285714285,7247.111111111111,1418.0
1577.4444444444443,1877.2222222222222,1418.5
1226.8,5934.5,2447.6666666666665
7437.571428571428,5414.833333333333,733.8333333333334
1821.5,5672.666666666667,4545.111111111111
11329.4,1154.6,2285.8
12076.1,2519.2,1061.5
501.8,3623.125,3376.1
2273.0,3357.4,6132.666666666667
1148.5714285714287,4729.428571428572,3846.5555555555557
7286.0,2198.777777777778,6815.444444444444
